Comentario,Sentimiento
só esqueceu falar hiluo vídeos pra ficar bom tem usar versão paga caso contrário vídeos ficam com apenas 13 segundos,1 star
seaart melhor,5 stars
tira marca dagua do hailu,1 star
dica top poi já faço mais ultillozo outras ferramentas,5 stars
muito bom,5 stars
qual nome do programa,1 star
how pleased,5 stars
muito bom mesmo,5 stars
pode ensinar,4 stars
fazer,5 stars
pra gerar imagem melhor copiloto axo não existe ele entende com uma precisão surpreende qualquer pessoa pra dar movimento na imagem esse hailua também é incrível,1 star
muito interessante,5 stars
top demais gostei da dica estou estudando começar um canal,5 stars
sucesso,5 stars
coloca pra gerar vídeo formato celular com prompt texto,4 stars
top,5 stars
adorei seu vídeo,5 stars
boa,4 stars
vamoss,5 stars
legal demais,1 star
você tira logo,1 star
top hein gostei,5 stars
,4 stars
ficou show,5 stars
,4 stars
top,5 stars
tô fazendo amando bom ele entende comando em português,4 stars
boa,4 stars
gostei boa dica,4 stars
top mano,5 stars
comando,5 stars
legal,1 star
muito obrigado pelo conteúdo,4 stars
ensinaaa,4 stars
faz,4 stars
oi mana faz,5 stars
,4 stars
ensinar,4 stars
quero aprender ajuda,5 stars
tbm quero explica,5 stars
chama privado ensino,1 star
ensina favor,1 star
alguém tem link com modelo já criada,1 star
mano,5 stars
faz,4 stars
faz vídeo ensinando,5 stars
ensinaaa,4 stars
alguém sabe qual é ia alguém pra ensinar,5 stars
faz pfv,5 stars
também queroe ensina,5 stars
ta linda amiga geradas ia arrasando,1 star
ensina,4 stars
ensina mn,5 stars
faz chama chat,4 stars
faz,4 stars
alguém ensina graça,1 star
ensina alguém,5 stars
ficou muito bacana top mesmo,5 stars
ótima ideia,5 stars
faz,4 stars
faz,4 stars
ensina,4 stars
faz,4 stars
faz,4 stars
faz,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
is ai dog ok after touching the fire,3 stars
my mom would believe this and call useless,1 star
vídeo minha mãe acredita,5 stars
people think this is ai,1 star
limda,3 stars
gon na show this to my grandma,5 stars
did actually do this,5 stars
isso é real,5 stars
ma isso não é crime,1 star
ai is getting way better within short period of time thats actually concerning,3 stars
my mom would think this is real,5 stars
this is what i imagine my dog doe when i m not home,5 stars
that actually pretty convincing ai,4 stars
is this real,5 stars
i m pretty sure the dog just burnt his paw,3 stars
natureza deus é perfeita,5 stars
ninguém sabe isso é desgastante,1 star
ai could never recreate this,1 star
wow how did they train him to do that,5 stars
ai pug don t touch the fire,1 star
hi,5 stars
why d my mom just send this thinking it s real,1 star
minha só peida dorme vou mostrar esse vídeo pra,1 star
i seen my dog do this yesterday,5 stars
this wa barley ai,5 stars
saw this in person it wa nut,5 stars
hater will say it fake,1 star
compliment to the chef,5 stars
so good at it,5 stars
did really do that,4 stars
is this real please tell the truth,5 stars
is this real,5 stars
so amazing,5 stars
meu não sabe nem cagar lugar certo,1 star
my mom would believe this,5 stars
this some good ai,4 stars
lovely,5 stars
có thật k vậy trời,5 stars
what the dog doin,5 stars
my grandma would believe this,5 stars
got ta love ai,5 stars
is this real,5 stars
10x more sanitary than the indie street food video,5 stars
ser eu manda minha vó ela acredita,1 star
ok ai is getting little too good now,3 stars
i always said it dog are hella smart,5 stars
i will never eat that food,1 star
realized the fire wa artificial,1 star
i looked at my dog and sighed,1 star
mẹ t bảo thật,1 star
ta rendendo uma boa renda esse negócio ia do job com tele fusion pra administrar,5 stars
esses site são pagos não é,1 star
isso tá ficando macabro vei kkkk,1 star
isso pq ele nem usou direito runway kkkk,1 star
não é tão simple assim só criar vídeos postar vai mim,2 stars
eu comparando insta com pessoas não existem,1 star
tive uma ideia,3 stars
da pra criar pelo celular,3 stars
rede social tá cansativo demais só é mentira agora,1 star
nao falou temos pagar,1 star
minha fatura dia kkkk,5 stars
problema é criar várias imagens da mesma pessoa sem erros isso é muito complicado pq ia muda a feições depois gera muitas imagens isso mesmo fixando seed,1 star
tô mais criar vídeos,3 stars
verdade eh ia um programa não tem receber salário mesmo compor música pela ia vc n ser compositor,1 star
quero,5 stars
não aparece essas páginas aí caminho vc ensinou,1 star
alguém querendo ajuda,5 stars
cara fazendo money com ia kkk,5 stars
tem fazer cadastro,1 star
imagina muitos serão enganados resolverem fazer seus volta cristo,1 star
vou fazer uma depois vou fingir ser do job pra ganhar muito dinheiro,1 star
tá coloca voz cenas,4 stars
é pago,5 stars
só tenho uma coisa dizer kkkkkkkkkkkkkkkkkkkkkkkk,1 star
site é pago isso ele não fala,1 star
é nítido é feito ia não sei a pessoas não percebem,5 stars
quem dera fosse só isso,1 star
cara parem com isso ficar falando tudo é fácil rápido pq não é tão simple assim,3 stars
amei ganhou uma seguidora pra explicação sensacional,4 stars
ele nem fala tem pagar pra fazer né,1 star
site são grátis,3 stars
eu consegui mais lá tem pagar,3 stars
tá bom pra,5 stars
amei,3 stars
eu faço isso,5 stars
muito bom porém toda ia pagas,4 stars
alguém quer ajuda,5 stars
conteúdo qualidade amigo obrigado,5 stars
top,5 stars
eu quero aprender fazer,5 stars
eu gerando imagem aí mili ano kskskskskk,5 stars
eu comparando insta com pessoas não existem,1 star
dica milhões,1 star
nem parece,1 star
eu tô passada,1 star
então pode fazer uma modelo pelo ia fazer um tiktok fazer vídeos ia ganhar dinheiro oxi,1 star
vou criar uma colocar olinfas pra faturar pra mim,5 stars
sinistro,1 star
ppssivel envisr passo passo mim muito rapido entender,5 stars
faz,4 stars
enviar thiffanni,1 star
app usa,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
bosonario entrando na cara do lula kkkk,1 star
cara deles amassando,1 star
kakakakakakka eles comendo cara,5 stars
lula engolindo,1 star
praticamente um engoliu outro,1 star
lula sendo jogador 157,1 star
bolsonaro sendo jogador 100,5 stars
sem mentir na primeira vez eu pensei player 100 bolsonaro dp reparei nn,1 star
droga levei spoiler,2 stars
eu já falei n quero spoiler da 3 temporada,1 star
gente isso realmente aconteceu,5 stars
eu sent um,1 star
olhar mil políticos,1 star
vip,5 stars
mais cadê namorado do gi hun,3 stars
qual ep aparece essa cena,5 stars
lula eliminado,1 star
gi hum claramente desconfortável,2 stars
olhar mil eleições,5 stars
isso realmente aconteceu,5 stars
nn acredito ja vazaram cenas da terceira temporada mano,1 star
bolsonaro gi hun claramente desconfortáveis,1 star
eu mandar pra minha vó ela acredita,1 star
porq eles tem mesmo numero,1 star
do lula n séria 157,1 star
ainda não assisti em qual ep aconteceu,1 star
pra qm n sabe essa cena da temporada,5 stars
eu facilmente acreditaria,3 stars
isso acontece em episódio,3 stars
isso realmente aconteceu,5 stars
lula olhando pro gi hun,5 stars
aconteceu mesmo,5 stars
gente isso acontece vdd,5 stars
vai ter isso na segunda parte,3 stars
é real,5 stars
isso n é crime,1 star
isso tá tão real md kkkkkkkkk perigo,1 star
não vei,1 star
ma tem msm numero,3 stars
isso realmente aconteceu,5 stars
ahh lula,1 star
cena mais pesada da série,3 stars
spoiler ja,5 stars
gihun claramente desconfortável quando lula olha ele ele olha é pro bolsonaro akkakakakak,1 star
cena diabólica,5 stars
gente isso aconteceu mesmo,5 stars
não dá spoiler não vei,1 star
bolsonaro claramente desconfortável,1 star
essa cena foi tão impactante faz dia eu não durmo,5 stars
cadê gustavo lima,3 stars
gi hun claramente desconfortável,2 stars
pela intimidade caso é antigo,5 stars
gente avisam dar spoiler,1 star
eh real,3 stars
isso aconteceu verdade,5 stars
the book of enoch all should read it an eye opener,5 stars
lá sangre cristo poder,5 stars
não julgo alguns são assim mesmo gente só não vê kkkkkk,1 star
name application please,3 stars
ave lúcifer,5 stars
eww i wonder how the kid would look like,3 stars
not all demon are evil,1 star
what did i just watch,5 stars
i want ai to do my laundry and dish so that i can do art and writing not for ai to do my art and writing so that i can do my laundry and joanna maciejewska,3 stars
amen lord help u,5 stars
meus anjos protetores ethan,1 star
i bet they wo claim child support,1 star
mais carinhoso meu ex,3 stars
sem comentario,3 stars
so we here we,3 stars
been there toxic narcissistic relationship disquised a love,1 star
my type absolutely,5 stars
sena diabólica,5 stars
is this real,5 stars
look like my ex,5 stars
way do this wats the point,5 stars
hi,5 stars
good real,4 stars
it so sad,1 star
,4 stars
alot are in disguise,5 stars
scary,5 stars
what am i seeing is it true,5 stars
in jesus christ name,5 stars
not ok,2 stars
eu amo muito meu deus amem,5 stars
lol holysmokes,3 stars
ohh god forgive u,1 star
jesus cristo cuide min,5 stars
wow,5 stars
lord help,5 stars
sangue cristo,5 stars
please which ai video generator did you use to make this video,5 stars
,4 stars
tell it not true,1 star
why,1 star
blessed be,5 stars
daredevil s parent,4 stars
misericordia,5 stars
it s funny that you say that because that s who we all are when we come into this earth we are th fallen,5 stars
where are those people that pray in tiktok comment like that doe anything,1 star
omg,3 stars
what do you call this kind of thing,5 stars
ok i,3 stars
tem direito ser feliz,5 stars
isso aconteceu mesmo,5 stars
hehehe,1 star
manda salve,1 star
segundo manda salve,1 star
qual app faz isso,5 stars
eu sou melhor,3 stars
show,5 stars
,4 stars
socorro eu amo esses vídeos,5 stars
hehehehehe,1 star
isso aconteceu mesmo,5 stars
cara ta ficando muito realista,3 stars
camera,4 stars
cristiano ri com sotaque kkk,3 stars
kkkkkkkkkkkk muito bom,5 stars
amo assistir esses video,5 stars
parece até não é verdade ma realmente não é verdade na verdade,2 stars
muito bom,5 stars
tbm posto vídeos tipo esse mais não tem muita vizu,3 stars
siuuu,3 stars
kkkk,3 stars
q isso veyrrr akak,1 star
primeiro,5 stars
ajuda fazer aí mn,4 stars
,4 stars
parece até mentira ma isso realmente aconteceu,3 stars
top demais,5 stars
ejection xxxxxx,5 stars
hehehe,1 star
kkkk,3 stars
cristiano ronaldo lionel messi aman secreto,5 stars
siuuuuuuu,3 stars
messi cristiano ronaldo mejores trabajadores,5 stars
si aman,5 stars
app usan hacer montajes,4 stars
baliente,3 stars
siuuuuuu,3 stars
а если туда насрать,3 stars
messi mejor,5 stars
siuuuuuuu,3 stars
pongo facebook creen,5 stars
cristiano lionel messi aman do secreto,5 stars
лига фермеров,5 stars
siuuuuuuuu,3 stars
hahahaha mesiiiiiii,3 stars
suiiiii,3 stars
bonito,4 stars
ola,3 stars
,4 stars
jajajaja siuuuuu,4 stars
invejosas dirão é montagem,1 star
ensina,4 stars
fiquei com ciúmes,1 star
ensinaaaa,3 stars
,4 stars
,4 stars
,4 stars
,4 stars
tô imaginando a fake na campanha 2026 kkkk mano vai ter ia,1 star
