comment,prediccion_modelo
ser humano hipopótamo frase nunca nadie dicho nunca olvidaré,0
buen contenido canal usare vídeo trabajo universitario gracias d,1
excelente explicación muchas gracias,1
gracias eduardo compartir conocimiento video conciso explica hablan nadie sabe explicar bien vueltas palabras ejemplos cercanos diaria idea relación captcha ai maravilla,1
sinceramente felicito usted didáctica efectiva explicar sencillez vez científicamente inteligencia artificial reitero felicitaciones siga adelante,1
buena fase introductoria aquellos hace aos conversabamos inteligencia artificial emocionante apasionante viviendo realidad sueo realizado plano gustaría profundizar uso aplicaciones gracias,1
vídeos interesantes muchas gracias divulgar temas,1
ando viendo tema proyecto depende si paso termino colegio caigo cuenta escogimos tema ma complejo creia debemos defender tiempo mejor ir informandose aprendiendo estancarme tan pronto,1
buena explicacion ejemplos mencionas ayudan entender conceptos gracias,1
felicitaciones claro preciso sigue asi vida vamos convivir inteligencia artificial gracias,1
buenas primer lugar felicitarle canal pequeo encantaban matemáticas quisieron ascender do cursos di mala experiencia debido bullying terminé dejando ojalá conocido pequeo quisiera pedirle segundo lugar video fondo proporción áurea gustaría poder compartir importancia proporción áurea siguen canal importante presente rodea hecho incluso asocia belleza persona acercan proporciones bellas percibimos realmente increíble estructuras naturales puede ser tallos ramificaciones plantas haber continuado estudios fuertes gustado poder comprobar inteligencia fuertemente relacionada dicha proporción etc tema largo poder desarrollarme aquí solo presente tierra sino universo teoría ramificaciones cerebrales propias idea consciencia completamente relacionadas dicha proporción demasiado profundo post encantaría poder comenzar viendo vídeo parte poder comentar allí gracias supuesto continúe increíble mundo matemático,1
muchas graciasestoy curso ciencia datos ayudado comprender concepto,1
buen vídeo ilustrativo conciso tnx,1
woooo hiciste video pedí pasado muchas gracias encanta canal saludos chile,1
placer suscrito canal respiro ciencia nunca demás,1
eduardo amamos crack mil gracias,1
primero pienso stockfish,0
justamente aprendiendo knn semana,1
vaya justo vídeo q gustaría dedicarme futuro gracias,1
verdad muchas gracias diste motivación necesitaba afrontar to ao carrera ingeniería matemáticas,1
hola ingeniero machine learning aveces xgboosters superan redes neuronales buen video xgboosters refiero gradiente descendiente,1
sorprendido cada día ma vos casualidad video parte formación académica formas parte clases brindan agradecido eternamente contenido,1
gracias aportes saludos venezuela,1
tipo máximo apariencia usual profesor sumada carisma vuelven verdadero hit,1
gracias compartir saber bendiciones,1
pedazo video simplemente genial interesante gusto dando importancia ia matemáticas posibles avances actualidad seguimos usando algoritmos estadísticos hace aos gran diferencia hoy generar toneladas datos consecuencia variedad datos pueden ser entrenados,1
interesante desarrollo aunque siempre puede ser tan cierto acertar mente humana cuanto interpretación datos,1
encantan caras promocionales divertidas pone hombre quitar hierro temas tan serios genio sabio así da gusto aprender cosas nuevas ciencia,1
tal vez ver agradezco cada cientifico cada investigador cada persona envuelta desarrollo avanzes tecnologias ayudan mejorar humanidad gracias ia software ma verdad siento sumamente agradecido realmente quiero persona mejor vida posible pues merecen aporte dan sociedad medio optimizacion tareas tediosas increible asi cualquier persona involucrada desarrollo ia investigacion tecnologia mejorar vidas cualquier forma respeto,1
buen tema buen canal hora dejar lado ver video,1
simplemente brillante admiración,1
excelente video eduardo cómo relaciona investigación matemática desarrollo algoritmos inteligencia artificial,1
wooooooow bien explicado claro profundo mil gracias,1
aqui binarios my friend perfecto evitar futuros problemas,1
sucedería si ejecutará vectores intravectores decisivos dentro arrayanes gracias respuesta maestro saludos,1
haces entender fácil ojalá pronto segunda parte,0
gran explicación inteligencia artificial gustó cómo explica conceptos manera tan clara fácil entender tipo contenido ayuda desmitificar ia entender verdadero potencial,1
curioso algoritmos youtube llevaron video espero aprendiendo contenido calidad,1
wow c vi vi encantó,1
ia crea canal matemáticas mejor derivando eduardo cree,1
mejor explicación encontrado después ver video artículos divulgación salen abstracciones dan hecho entendieron tema términos usan,1
encantó video muestra amplo campo ia cosas ma fascinantes conocido teoría matemática detrás hermosisima encantaria dedicarme completo estudio aplicación misma empezar dada vasta complejidad solo pequea parte conocimiento matemático dedicarme lleno ma minimum idea empezar si alguien supiera pudiera hacer ma estudios profundidad ello pudiera comunicármelo eternamente agradecido,1
sr cabezón entendible bueno realice video actualizado fecha ayudarnos siempre hace tiempo referente ia varió bastante saludos argentina,1
clarisimo buena explicacion ojala cosas vayan bien,1
buen resumen forma explicar excelente video,1
alegro sigas aqui,1
super interesante video profesor creciente crecimiento app inteligencia artificial chat gpt bueno video respecto,1
gracias video ia aos atrás recién ánimo saber tecnología llamada disruptiva video puesto día ia términos comprendí perfectamente ayudando seguir entendiendo desarrollo ia do aos fascinada gracias didaáctica clarísina si escucha unas cuantas veces menos comprendí general ia algorithm técnicas momento redes neuronales continúan reinando entendía bien gracias millón gracias seor veré,1
temprano matemáticas algoritmos aquí vamos,1
gozaré video puedes imaginar,1
simple taxista ando aquí disfrutando cosas entiendo pondré práctica,1
muchas gracias compartir excelente canal,1
genial video justo empecé tener interés temas subes video siento agradecido arriba,1
gracias video bendiciones,1
saludos ecuador sigue adelante edu excelente contenido,1
excelente explicación gracias totales,1
pase meses materia ia comprenderla video comprendí menos minutos,1
muchas graciasss maana examen tema ayudaste full,1
excelente video muchas gracias pregunta posible puedas colgar literatura relacionada descripción video ganas profundizar abrazo,1
buen video data scientist explicas bien,1
podrías hacer vídeo matemáticas redes neuronales,1
hará conciente cambiará persección mundo,1
buenos vídeos podrías hacer vídeo alguno problemas matemáticos película good will hunting gracias,1
excelente favor video redes neuronales,1
parece bastante interesante forma abordas temas excelente video gustaría sigas hablando temas video,1
exelente video autoconciencia imposible,1
justo apenas empecé máster ia universidad uk mayoría piensa solo bot sencillo ia potencial,0
gracias información tiempo prestado,1
pasarás eternidad cielo infierno dios quité vida jesucristo viene pronto salva alma ahora ay tiempo maana puede ser tarde santidad nadie verá seor jesucristo escapa x vida llamás eternas,1
genial divulgar muchas gracias,1
hace leí descubrimiento ver matemáticas visto descubierto organismo unicelular cerebro hace cálculos matemáticos desplazarse podrías hacer video explicando cómo posible,0
inteligencia artificial ayudará ser mejores amigo guntos haremos crearemos cosas imposibles bien,1
interesante bien explicado siempre gracias refrescar verano,1
único puedo aceptar aprendizaje basado refuerzo basa modelo aprendizaje reforzamiento skinner si implica cambio final producto resultados proceso,1
participaba taller machine learning entretenido entrenar máquina luego consultarle según aprendió,0
muchas gracias toda explicaciones gran video pasada toda tecnología nueva,1
tema video fondos video derivando,1
gracias enseanzas vídeos,1
esperamos expectativas video opinión chat gpt nuevas inteligencias artificiales gracias hacer ciencia matemática atractiva divertida,1
quiero seor explica cosas tan dificiles ocho minutos,1
aprendizaje supervisado supervisado utiliza clasificación imágenes satelitales interesante cada imagen satelital puede conformada bandas caso hiperespectrales mínimo bandas,1
ahi creo funciona así puedas continuar debes acertar dnd imagenes programa valida si supiera podrías superar captcha incluso equivocandote,1
cantidad veces fallo chaptchas perjudicando gravemente inteligencia artificial,0
gran vídeo muchas gracias,1
gracias contenido puedes hacer vídeo hablando investigaciones usan matemática topología teoría categorías computación cuántica inteligencia artificial visto uso álgebra forbenius pragmática lenguaje natural saludos,1
buen video bien explicado tiempo gracias usaré clase apra explicar conceptos,1
aquí binarios my friend parto contigo muchas gracias eduardo vídeo genial saludos madrid,1
bien explicado,0
si movimiento bueno probable repita partida ajedrez ejemplo acaso lor ordenadores saben causalidad solo comparan resultados después jugar millones veces saber realmente cada moviendo separado bueno sino movimiento calificado bueno si partida victoriosa,1
excelente explicacion gusto aprendi,1
sugerencia gustaria ver video acerca automatas celulares conway quedo corto mencionando regla constructor universal von neumann obsesion wolfram tema tema denso interesante,1
gran video genio eduardo,1
meses empezar carrera inteligencia artificial emoción,1
buena explicacion,1
tema canal two minute paper sube paper interesantes,1
excelente interesante uruguay,1
encanto tema podrías hablar algoritmos específicos temas computer science matemáticas,1
cada vez avanza hitos ia cada día va evolucionando mejor pensamiento lógico máquinas,1
viendo vídeo subtítulos generados automáticamente interesante,1
acuerdo veía ahí entretenía aunque veía mate solo mera curiosidad ahora estudiante veo curiosidad ia entretenido,0
like si estudiante humanidades,0
semáforos coches peatones acaso sistema sepa si creando cuenta ser humano bot,1
increible necesitan coches detectar chimeneas,1
excelente video cuya calidad atribuyo do factores parte conocimiento fondo ia evidenciado especial hablan redes neuronales dominio completo matemáticas maestría matemática queda ampliamente demostrada correcto tratamiento hace canal infinidad cuestiones álgebra análisis geometría topología incluida respecto redes neuronales cabe sealar existe manera alterna divulgada obtener redes profundas perceptrones decir redes tres capas perceptrones similares calculan ajustando peso mediante retropropagación errores dicho método alternativo calcula red profunda directamente partir datos ejemplos contraejemplos franjas separación deseadas hipersuperficies decisorias metodología inédita utiliza retropropagación trata algoritmo codificado programa evaluado numéricamente basa formular perceptrones términos categorías objetos morfismos analizarlos términos geométricos permite tratamiento transparente data numérica desempeo algoritmo notablemente predecible exacto rápido retropropagación introducción uso sugiero den vistazo siguiente video cuya descripción hallaréis enlace descargar software además link referencias corre plataforma window totalmente gratuito siquiera requiere instalación autoportante podréis probar software propios archivos datos numéricos comprobar cabalidad redes así obtenidas reconocen exitosamente data felicitaciones tan clara introducción ia particular redes neuronales daniel crespin,1
inteligencia artificial verbo if detrás,1
muchísimas gracias explicarlo puedes decir compraste camiseta,1
osea machine learning aasi inteligencia colectiva red guarda solo datos sino millones personasotras pc hacer analisis,1
muchas gracias compartir,1
aquí binarios my friend xd,1
interesante especial apasionante,1
propuesta posible medir movimiento placas tectonicas segun google map posicion pixelar esfera encontramos animacion planeta simulacion base machine learning poder predecir terremotos si google map coordenadas factores hostigan lugares seria chile falla san andres podria tomarse cosas termometro kilometrico ciertos lugares placas provocaria tierra moldeada humanos nivel tectonico malo decir dejarian caga conociendo weones malos weones pelear haran cosa piensen amunas advertencia termometro sensor tipo balanza superficie pueda medir movimientos segun machine learning posible tendra margen error probable ringa tech dotcsv derivando polo tendria dejar cupula nevera,0
buen tema,1
ser genio estudiar matematicas basta iq regural iq importa,0
canal mola matemática visto ángulo,1
veo libros aprendo derivando aprendo derivando busco libros,0
entendí saber si pasaste captcha so robot tener etiquetadas imágenes contrario daría igual marcaras entonces ayudamos si etiquetando imágenes etiquetadas,1
solo skynet va dominar mundo v,1
pensé hablarías alpha zero fin buen video,1
vídeo cómo funciona inteligencia artificial jugadores hoi inteligencia artificial funciona,1
bien dicho si diga dot ceseuve,0
inteligencia artificial hecho inteligencia humana,0
inteligencia artificial parece espectacular hecho crear vida decirlo así exista conciencia tal humano capas pensar casi igual solo demuestran avance tecnología creaciones hombre,1
carrera hacer aprendizaje refuerzo pacman capaz comerse fantasmitas usando algoritmo llamado qlearning trabajo divertido tercero carrera,1
aplica enemigos videojuego,0
bot agedrez imagen alguien mamadisimo,0
youtube avisa d maravillosos vídeos,1
quedé esperando dijese ia hoy día verdaderamente inteligencia artificial sino estadística,0
bueno clarito clarito,1
inteligencia artificial percibe tiempo misma forma percibimos humanos,1
buen programabueno,1
entonces robot pronto podrá ser realizado robot xd,1
gusta base cada vez ase compleja así hexagesimal,0
algoritmo deep learning genere algoritmos deep learning,0
gracias super bien explicado,1
aquí binarios my friend lgbt moment,0
gracias exposición,1
canal hermoso,1
sabía futbolista argentino gonzalo higuaín tremendo profesor explica bien,0
logra caer mínimos parciales entrenar redes multicapa utiliza multicapa si demostrado do capas puede lograrse cualquier solución capas debe reducen operaciones matemáticas,1
canal suscriptores merecen detrás cámaras tomas falsas excelente siempre,1
excelenete video inteligencia artificial ia simulación inteligencia humana crea algoritmos sistemas informáticos capaces ejecutar tareas simple complejas realizan persona,1
you are machine,0
buena info voy usarlo app,1
buen video podrías hacer revise matemáticas chip puertas lógicas,1
inteligencia artificial herramienta poderosa puede mejorar vidas automatizar tareas resolver problemas complejos debemos ser cuidadosos uso garantizar beneficie comprometa privacidad ética,1
interesante tema bien explicado contáis seguidor,1
padre inteligencia artifical puede llevar negligencia inteligencia artificial,0
tecnología futuro ayudará evolucionar,1
libro recomiendas estudiar base iacreo ver regresiones patrones,0
déme clases matemáticas inicio carrera favor gandía cerca,1
gracias buen video,1
debe utilizar uber distribuir solicitude conductores quieren ir determinadas zona pues dia solo envian servicios solo oara zona adonde quiero ir,1
inteligencia artificial siguiente revolución bueno contenido,1
excelente contenido,1
eduardo alguna bilbliografia formal algoritmos saludos colombia,1
hola heduardo sé si escuchaste boliviano dió problemas milenio hipótesis riemann ser exactos,1
interesante publicado libro explico nuevo lenguaje creado inteligencia artificial lenguaje letras numeradas orden cree cree matemática letras ánimo crear publicidad libro publicado amazon titula nueva matemática letras edición,1
excelente resumen utilizaré clase dictaré,1
justo trabajo robot ia sale muchas gracias,1
justo ahora vengo mirar partida stockfish video cae anillo dedo,0
cosas caemos normalmente mucha cosas conseguimos aprendemos vienen necesidades maquinas hambre apetito sexual tristeza euforia alegría combinado momento histórico encuentras oportunidades claves entorno complejo social interactuando individuos lleva crear tipo cosas idea realizar esfuerzos enormes conseguir satisfacer necesidades así bajo punto vista existe inteligencia artificial inteligencia humana histórica grupal colectiva incluso química decisiones hormonas replicable algoritmos,1
inteligencia artificial podría perfeccionar mayor rapidez fórmulas soluciones cerebro humano gran ventaja llamado emociones ninguna máquina puede analizar sentir,1
hola buen video encantó tiempo vi video probabilidad cofre clash royal gustaría hicieran probabilidad salga reliquia apex legend juego,1
fotos semáforos esperaba,0
diferencial respecto dx,1
sofía doriaruiz mediante cerebro ser humano caracteriza datos diferentes digita computador,1
buena información gracias,1
gran video gracias,1
tenia duda gracias,1
duda puede usarse tecnologia diga proceso desarrollar alguna tecnologia existente vamos decirle dame pasos disear construir dispositivo proyeccion holografica esperar minutos u horas despues pasos lista materiales demas poder construir asi duda,1
creó equivocó stargate skynet,0
gracias canal favorito saludo suiza,1
habia escuchado anuncios ma minutos youtube esperaba real,0
mismo decian llegar deeseek ahora ascuas,0
adoro canalll pone piel gallinaaaaa,1
ecuación simple ser humano envejeciendo decir llenando viejos preparados afrontar ello conllevaenfermedades cuidados etc inminente uso inteligencia artificial cimientos soporten nueva,0
mentalidad unidos mejor si nadie,1
encantan video realmente informativos,1
excelente análisis gran carisma siempre agradecido labor divulgativa siempre grato entender realidad geopolítica actual tecnológica apoyo abrazo fuerte,1
hecho vídeo respecto aranceles trump quiere aplicar méxico canadá china unión europea,0
gracias bueno saludable,1
unidos consiga avance nuevas inversiones china llevará aos ventaja justo ahora,0
buen dato espero bien común poniendo soga cuello toda humanidad,1
ojo anuncio dicestargate star lake,0
pasa ia autónoma necesario configuren hacerlo según objetivos proyecto puede llagar hacerlo corto tiempo va poder controlar ser veces inteligente cualquier científico entiende sabe diferentes materia matemáticas sociales deberían pensar ia herramienta doble filo temprano tarde perderemos totalmente control si haciendo,1
so experiencia profesionista permitio sonar dia hospital humanos area especialidad sistemas informacion hoy llaman inteligencia artificial ojala algun dia pudiera platicarles experiencia aos,1
excelente contenido,1
tres gracias trump,1
despues deepseek proyecto stargate seria broma mal gusto inversores,1
mientras dicen dinero dicen deepseek pueden hacer ma barato fin,0
aun pronto ed camino largo resultados verán dentro aos mundo serum diferente junto generación humanos diferentes,1
hacer és crear ia mentalidad conocimiento steve job haciendo transferencia conciencia familiares amistades persona cercanas tipo dato guardado si funciona después hacer mismo persona asi final insertárlo cuerpo sintético robothumanoide,1
creo meteré buena inversión oracle nvidia,1
pues viendo necesita deepseek trabajar argumento cae solo gringo van necesitar buen plan,1
gracias genial,1
quieren saber ase gente si roban asen cosas malas pregunta quién bijilara alós políticos corruptos ladrones responde pregunta diciendo mentiras,0
sé puede confiar empresarios,1
si mismos gringo imprimen billetes ningun respaldo oro complican solo compren ma impresoras,0
alguien notó parecido scanet scainet,0
buena informacion,1
llegan aos tarde competencia gringo chino lideran actualmente creación patentes innovación tecnológica unidos imperio decadencia puedes ver confirmar viendo ma sienta silla presidencial,0
guerra perdio china va aos adelantado,0
suerte van necesitar digo ser pesimista sarcastico menos ponerme nivel persona desena mal tratándose china entrando nueva guerra fria cualquier cosa puede pasar,1
hermosa burbuja,1
interesante,1
paso creacion scarlet pues,0
si ia mejora bien mal armas nunca buenas malas empuan u cosa,1
do aos china vuelve super inversión musd,0
excellent,0
trump haciendo américa grande vez,0
q bien,0
pov usa internet explorer,0
skynet reference,0
john connor razón skynet existe,0
sabiaaa ninguno tres tontosss,0
quiero invertir usd,1
trump va hacer nuevamente eeuu grande,0
primero,0
burbuja,0
acuerdo elon musk ir cautela puede ser arma doble filo trump presidente problema quiere mejor país sabemos pudiera pasar gobierno demócrata ejemplo,1
sé puede confiar empresarios,1
sé puede confiar empresarios,1
convierte idea negocio rentable inteligencia artificial rápido fácil aprende chatgpt cero mejor curso online principiantes si comenzando usar inteligencia artificial quieres crear imágenes vox textos manera fácil sencilla barata usa creapro entra mejor curso online crecer youtube ganar dinero canal aprende conseguir clientes aprovechando máximo mundo online inteligencia artificial programa go aprende editar vídeos profesional mejor curso online suscríbete newsletter gratuita inteligencia artificial mantente día visita periódico digital inteligencia artificial entra nuevo canal privado gratuito whatsapp publico información exclusiva digo ningún lugar,1
super viene ma siempre ocupe trabaje responsabilidad respeto felicidades canal diario apasionante javier gracias sv,1
ve tan real wow excelente video master,1
graciasse nota gusta hacesy da ma valor trabajo,0
hola javier saludos chile tecnico audiovisual profesion gracias dios verdad sucede ia paso invento tv decian cine iba morir causa tv nunca asi asi cosas parte historia audiovisual siempre habra gente querra adaptarse quedaran obsoletos idea adaptarme nuevas herramientas ia saludos,1
hola estimado javier ahora dejaste boca abierta decimos acá méxico dejaste chiva jajaja vi video sugeriste pondré práctica saludos bendiciones,1
saludos bendiciones maracaibo venezuela,1
probado varias ia generar video siempre termino utilizando kling creo mejores si mejor saludos,1
hola muchas gracias aporte general buenas herramientas si compartido busque video encontré avatar parlante movimientos labios hedra mostraste hace tiempo visto tutoriales inglés puede hacer largo gratis mezcla herramientas algún momento enredado tutoriales visto espaol avatar da opción subir imagen cobran mencioné previamente si explicación idioma veces van velocidad luz varias herramientas enredas ojalá puedas subir así gracias,1
hola javier foto famoso beso amiga murió septiembre subi fcoto ala nube puede recuperar ahora gracias canal recupere hemocione gracias javier,1
muchas gracias javier gran aporte,1
minutos jajaja verdad sabia usar chat gpt enserio solo explicando quiere da ahora quiero hacer dinero quiern apalancarme algun taller hacer modelos ia video buen video,1
veo hiciste texto imagen conseguiste hacerlo consistente mediante texto video imagen video,1
hola javier puedo hacerlo apartir image,1
amigo colombia video haces pront salgan mejores tomas cámara seria espectacular creo acá publico agradecería,1
posible hacer video subiendo foto umhhhh necesito gracias excelentes video,1
probe funcion camara expectacular unico problema hailuo ai sigue prompt bien hace kling ai pues casi movimiento personaje aun todavia video comparan kling ai pues aun todavia puede ver problemas renderizar personaje especial si personaje fantasia hago pues solo camara mueve bien pelicula hailuo ai tambien arreglar forma generan video pues kling ai continuum haciendo video mejores hailuo ai,1
excelente javi,1
puedo aprender estimado interesa entrar lleno ia enseas vídeos crear canal poder intentar generar ingreso adicional gracias enseanzas estimado,1
hola buena información regalas muchas gracias respecto tema derechos autor música letra youtube puede sancionar canal,1
excelente javier bueno usarlo gracias,1
parece interesante exelente idea vídeo clip desventaja hailuo siempre demasiado colapsado puedes tardar horas generar escena,1
waw voy usar video música,0
extraordinario,0
llevar,1
bastante bien aunque continuidad tatuajes deja desear quizas genere mejores personajes tatoos,1
bueno,1
hace semana adquiri versión paga fliki realidad decepcionada asi buscando opción ia haga video largo realidad ahorre trabajo fliki lento parte tocando gastar horas editar misma video plataforma fin ninguna gracia hecho jejej,1
mucha creatividad crear tipo vídeos puedes decir cómo puedo ofrecer vendelos solo basta subirlos youtube gracias orientación,1
excellent,0
si descarga video stock youtube libre derechos autor,1
eeeeeeeeeeeeee f si cabeza cara barbilla terriblemente separada cuello mira video primero mira modelo modelo nota natural molesta mirar entorno pues distrae cosas extraa distraecreo bien complicaciones aun falta muchisimo gustaria alguna perfecto maldad proliferando sabéis usará mal bien,0
opcion pago deja hacerlos cuantos minutos,0
hacr actor cantante mismo,1
gracias,1
herramienta permite usar gratis projeck,0
excelente combinar suno,1
hola javier quiero ayudes hacer vídeo foto abuelos quiero imagen pase video saludando sobrina felicitandola aos,1
bueno sirve utilizar modo gratuito saturado use salio cola espera there are still people ahead expected to wait for minute imagen video peor there are still people ahead expected to wait for minute horas espera solo pago funciona bien bien javi llegaran jugosas comisiones video,1
malo hacer solo video esperar horas horas horas,1
video ve nuevo parece video hechos pensados ordenador piensan falta creatividad hace fácil cosas,0
entiendo versión pago,1
video empieza,0
gratis,0
hola video aparecia privado,1
javier personaje podrá realizar partir foto gracias,1
increible noticia esperar horas tan agradable claro usuario free pago cuanto tardara,1
bueno,1
gratis,0
excelente tertuliagracias freddy traer invitado,1
oro puro muchas gracias tremendo aporte,1
buena entrevista gracias tener siempre secciones tan interesantes,1
podría pedir ia redacte costitución justa chilenos ganemos,1
buena vista gracias freddy,1
principio decia domine medios comunicación dominara mundo casi sucede nacieron redes sociales entonces dijo domine redes sociales dominara mundo casi pasa entonces aparecio ia ahora dice domine inteligencia artificial domina mundo aun pasa pasara pues sabemos termina vimos terminator,1
titulo vendedorrrrr impresionante mundo interesa dominarlo sino propia existenciaque ver dominar exteriorla realidad ma profundo vivir mundo,1
fredy veo siempre cuento acá suecia integra nueva asignatura plan estudio gymnasiet sueco inteligencia artificial,1
menos gran experto chileno danza genios,0
forma seres humanos relacionarse construir sociedad muchas veces injusta social política económicamente podrían llevar colapso ahí ai podrían evolucionar crear nuevas ai solucionar problemas creados humanos pensando siempre pasará terminaror visto muchas películas apocalipsis,1
corrección inversión hará trump desarrollo ia proyecto stargate millones dólares mil millones dólares locura incluso doble gastaron proyecto manhattan crear bomba atómica ajustando inflación supuesto así importante ven grandes potencias ia tecnología cambiará historia humanidad siempre,1
minuto si experto ia dice medio dificil saber pasa experto digamos detras bueno calculo multivariable algebra lineal estadistica algoritmos aprendizaje automatico refuerzo,1
interesante entrevista felicitaciones recomendacion musica fondo totalmente inecesaria atreveo decir irrespetuosa invitado auditores comprendo intencion crear ambiente living casa torna molesta,1
james cameron visionario,0
god partir meterse demasiado expuestos sinceramente dudo inteligencia artificial aportarme,0
techno feudalismo accesible información solo aquellos seores dueos mundo juntan trump,1
humanidad decepciona tipo parece vio black mirror terror,0
presidente séquito robot ia mmm ojalá corruptos favorrrr ja,0
preguntaste chat gpt si puerto rico pais independiente respondió porq pensamiento anti chino facil poner ejemplo taiwan,0
cita ésta entrevista lecciones siglo xxi yuval noah harari,1
ia valorada expuesta propaganda,0
alien atraves tecnologia digo,0
equivocados ia estadounidense postura política respuestas,1
inteligencia artificial razona piensan aprende solo código programación grandes base datos mejor ejemplo puedes preguntar empanada tendencias políticas,1
caerán,0
buena moneda cambio bien jugado parte europa quieres tratar inferiores pues casa puedes jugar tecnología puntera seguramente pasar caja si sigue amenazando bajar impuestos productos europeos europeos subirlos empresas americana seria maravilloso ver si vamos despertando damos paso delante,1
hora europa espabilara ahora solo falta dejen tonterías inviertan dinero mejorar mixtral u nuevos productos aunque creo final opensource civil quedará dara igual jaja,1
hizo falta putin trump unxi jinping espabilemos jooooodeeeer,0
donald trump acabara egemonia gringa,0
fotografia palabra favorita,0
jajajaja mundo caos,0
total medio tontos entran grupo,0
competitivo hace prohibir si,0
chino felices,1
eurotontos otantontos europedos,0
irónico pesar diciendo vamos terminar peor ganado aplaudimos extasiamos cada noticia avance tecnología tal vez merezcamos futuro viene pues bien merecido tendriamos,1
solo dar gracia gran vídeo clara mente foco atención,1
basada reglas adolescente asistencia contextual especialista analista razonadora algoritmo aprendizaje profundo agi general equiparable humano asi supera inteligencia humana consciente existencial trascendente conciencia colectiva cósmica relación universal divina,1
tremendo video profético dice escritura bíblica jesucristo ciencia aumenté vendrá fin tiempos gram tribulación humanidad cristo jesús vive viene pueblo luego ésto vendrán ayes humanidad,1
hombre destruye mismo así escrito nunca superarán creador falta amor verdadero armoniza,1
vídeo excelente inteligencia artificial seres humanos promueven incursionan vidas ser humano científicos servicio poderosos multimillonarios demás sólo esperaremos disfrutar ésa tecnología creada seres humanos,1
entientes sabios entenderan conocimiento aumentara perdera fe persevere fin serum salvo escrito hace mile millones yr,1
información tan espectacular disfruto video suben aprendizaje precisamente empresa implementando portafolio inteligencia artificial sector logística sectores,1
verdad día quedaremos trabajo viviremos renta básica mensual queda momento lamentablemente,1
duda religion tantas persona escrito tantos aos razon tendran,1
ia deidad cumplira absolutamente deseos virtualmente,1
solo muestra claramente capaces seres humanos si unieran toda potencias innovación impresionante,0
sólo digo ia esperan muchas sorpresas unas buenas muchísimas malas,1
egoísmo avaricia predomina terminó empatía amor humanos,1
apocalipsis bestia permitió darle vida imagen creado,0
ia indetenible si hacen harán,0
arrogancia ambición orgullo solo destrucción,1
excelente video bien dirigido informativo hagan in video emoresa byd crecimiento facetas vebta auto parte hacer baterias paneles solares energias renovables crecimiento bolsa valores vision crecimiento varias gigafactorias,1
