comment,prediccion_transformers
martha quiero verdad agradecerte felicitarte puedes haciendo cosas referentes carrera actoral embargo haces espacio agenda divulgación loable parte abrazo cario admiración,5 stars
maravillosa información supuesto esperamos siguientes vídeos,5 stars
gusto ver lourdes gómez nuevamente infinitos gracias martha junta hablan temas interés ayudan preparada informada quiero bendiciones,5 stars
wowww entrevista fascinante felicitaciones ambas argentina,5 stars
orden divino perfecto,5 stars
santisima trinidad confio poder gloria siglos siglos amen creo declaro humanidad especial tesoro,5 stars
bien den ma información preparados gracias gracias gracias dios cuide bendice,4 stars
gracias haces excelente trabajo,5 stars
bravo bravo lourdes gómez excelente invitada gracias gracias gracias,5 stars
si martha hable lourdes rosario alimentos favor gusta escucharlas,4 stars
marta invitada super especial encanta proxima remedio,5 stars
siiiiii remos gracias chicas programas tan enriquecedores diario vivir ojalá llegue mucha gente información creador guarde,5 stars
emocionante escuchar lourdes gómez,5 stars
interesante martita saludos lourdes ramos gran estudio ciencia tenerlo cuenta magnate sabemos traen bajo manga dicen dinero mueve mundo,4 stars
gracias marthica entrevistar lourdes gran sabedora historia investigadora bendiciones do,5 stars
mil mil gracias pendiente mad entrevistas tan especial invitada,5 stars
junta bomba bravo chicas,5 stars
xfavor martita hagan programas compartan relacionado medicinas naturales q podremos tomar lleguen tiempos obscuridad emocionante xfavor muchas potcas lourdes maravillosa bueno gracias,5 stars
aquí atenta,5 stars
buenisimo programa gracias,5 stars
súper interesante gracias saludos martha abrazos do,5 stars
humano dormido hacen crear cualquier realidad muerte desastre si humanos despiertan cambian realidad,1 star
gracias lourdes marta información,5 stars
genial martha saber relacionado tema gracias,5 stars
gracias capitulo pedi capitulo lourdes escuchar mujeres inteligentes hablando temas debemos preparnos mismos adentro fortalecer espíritu pase mundo hostil final trata aprendamos evolucionemos trascender mejor manera,5 stars
gracias toda información tan valiosa gracias,5 stars
lourdes siempre ganar ganar excelente dúo q repita favor saludos honduras,5 stars
martha iniciando ao sueo extraísimo dios mostraba lugar filum larguísima robot blancos rostro humano sueo decía robot cada humano creación propia destrucción ahora veo podcast aterro completo,1 star
martha pod cast pierdo conocí lourdes sigo presenta engancha forma explicar investigaciones súper inventada,5 stars
buenos días marthita muchas gracias invitar sra londresque dios bendiga,5 stars
gracias martitha lourdes encantan episodios investigaciones alguien podría compartir rl nombre semillas menciono lourdesmuchas gracias saludos méxico,5 stars
si agradezco sirve q prepararán verdad esperando equivocación si da miedo ustedes abren ojos muchas gracias si q cambiemos si hacemos podemos q cosas diferentes,1 star
gracias regalarnos episodios tan interesantes tanta información valiosaesperamos capítulos lourdes,5 stars
lourdes grande canso escucharte aprendido doy gracias compartir conocimiento,5 stars
mil gracias episodios gracias si quiero siguiente capítulo pronto posible felicidades,5 stars
hola marthita si super capitulo si quiero información preparada gracias lourdes,5 stars
sii regrese lourdes gomez interesante,3 stars
súper invitada a capitulos lourdes favor,5 stars
buen episodio habia escuchado profetas ma acutuales solo habia escuchado nostradamus baba vanga gracias información,4 stars
fiel canal marthita invitados lujo muchísima credibilidad bendiciones ustedes do abracitos quito,5 stars
capitulos lorudes gomez dice super interesante gracias,5 stars
mil gracias martita invitar lourdes gomez bueno prepararse solo espiritualmente maneras informanos negatividad ver éste tipo podcast contrario información muchas veces oculta gobierno malo prepararse contrario excelente podcast excelente investigación saludos querétaro,1 star
wooo facinante estare esperando proximo aprender remedios rosario etc etc,3 stars
hermoso programa creo encanta martha higareda super informada temas persona super inteligente,5 stars
gracias martha interesante gracias gracias gracias,5 stars
admiro lourdes preparada felicidades,5 stars
cómo siempre lujo maravilla escuchar lourdes,5 stars
super interesantelo hijo perdiciónpor ocasiones creaciones casi casi considerados hijosy iase puede identificar hijo alguien insinuacionesmuy directas,5 stars
hola querida marthita lourdes gracias toda información dan super interesante saludo abrazo,5 stars
angeles cielo saben fin ten fé,5 stars
gusto enorme escuchar do mujeres tan informadas gracias compartir conocimiento,5 stars
gracias seguir informando temas tan importantes tiempos tan tribulados,5 stars
hola martha bueno capítulo,5 stars
interesante contenido martha gracias próxima,4 stars
esperamos segunda parte favor,3 stars
excelente programa grandioso compartir remedios próximo programa dios bendiga,5 stars
mil gracias información dios padre bendiga siempre,5 stars
hola encantó episodio voto vuelvas entrevistar lourdes gómez,5 stars
hola martha interesante siempre,5 stars
muchas gracias información ojalá den tener casa prevenir si da tal situación,5 stars
buenas tardes bogot,3 stars
profecías estan escristas mismos controladores tierra humanos dioses creadores podemos crear nueva realidad,5 stars
fascinante siempre,5 stars
lourdes magnífica invitada,5 stars
gracias marthita traenos lourdes grande periodismo encantó verlas conjunto comentando haciendo consciencia sigan adelante chicas favor hacen trabajo impresionante,5 stars
gran episodio gracias,5 stars
finalmente lourdes programa,5 stars
hijole fuerte entrevista,5 stars
lourdes maravillosa,5 stars
gracias chicas hermoso episodio,5 stars
lindas creo invitada especial quedó cortoes invitada super lujo gracias,5 stars
listo sigo lourdes spotify,3 stars
siempre placer escucharlas lp do amo lourdes,5 stars
parte recetas seria maravillo,5 stars
hola hermosa marthita encanta invitada,5 stars
interesante tema,3 stars
gracias gusto,5 stars
buenísimo episodio,5 stars
favor martha episodio invitada favor,5 stars
encanto,5 stars
martita lourdes do mujeres increíbles sigo fascinan contenidos ambas unas dura tqm agradezco toda información brindan amor ayudarnos gran abrazo luz,5 stars
interesante,3 stars
mujeres valientes,5 stars
hagase voluntad padre nonla nonla hombre,1 star
excelente,5 stars
hola hola fin puedo mandar saludos iniciando bendiciones martita,1 star
saluditos martha excelente inició semana bonita noche,5 stars
saludos martha lourdes,5 stars
excelente,5 stars
hola marta hola lourdes buen contenido canales ponte tentó información primera seguro pasará pasando mundo tan conectado internet,4 stars
lourdes gómez toda institución información ido adquiriendo paso tiempo conocedora tantos misterios creíbles amamos ganado respeto admiración cario ser tan sencilla humilde corazón bella alma espíritu,5 stars
plaga antigua hace descongelamiento polo encontrado bacteria antigua,1 star
si hagan programa,3 stars
simplemente crearlo pensamientos va pasar realidad va pasar creando cosas positivas,5 stars
refiere cibort inteligencia artificial nanotecnologíaredes neuronales terminator génesis,4 stars
martina lourdes digan favor esconder an aran ustedes comprar boletos lanzarme volada allá mil gracias,1 star
ilustración blusa lourdes,3 stars
hable cruz orlada,5 stars
fascina escuchar mujer diga va tener curso hindelgarda medicina cristales,5 stars
secundaria s hablamos creo ing exactamente d estan hablando sucedió sec n cdmx,1 star
hola marta claro k gustaría k vuelva informe cómo podemos protegernos k viene gracias,5 stars
martha podrias entrevistar tresguias canalizado victor ayala,1 star
gran análisis gracias necesito consejo billetera safepal usdt frase recuperación alarm fetch churn bridge exercise tape speak race clerk couch crater letter podrías explicar cómo moverlos binance,4 stars
hola martita invita roberto gaetan,5 stars
invitada lujo lic lourdes mujer inteligente estudiosa profesional exquisita dicción,5 stars
si regrese lourdes temas favor,3 stars
cuales remedios naturales días,5 stars
considero misericordia dios hará do potencias lleguen acuerdo inteligencia cordura apretar botón acabaría gran paraiso creo seor hijos oremos imposible,1 star
si bueno saber predecessor tender casa si si si uas infomacion extra ma,3 stars
interesante conocer pensamientos demás cada ao hablan va allegar fin mundo dice don miguel ruiz quieren mundo acabe osea atraves implantar miedo estresan ahorita descubierto mente si invade estrés enfermamos,3 stars
quiero entender si estoys videntes narran vemos nivel q relacionandolo actual podemos relacionar vela benditas q mencionan serum nivel qestamos realmente seran vela benditas ma,1 star
hola quiero saber si libros monja hidelgarda,1 star
cuales semillas sueltas porfa,1 star
haz junto lourdes programa transferencia memoria humano robot va dar paso humanidad va descender lugar trascender algún lado recuerdo leído europeos obviamente millonarios hacen,1 star
martita siempre sigo encantan contenidos cosas terribles llenan miedo hacen bien,5 stars
martiha entrevista aidenaparanormal entrevisto gafe,3 stars
cancelado amor dios favor ten misericordia mundo voy escuchar episodio damos poder palabras dejemos escuchar cosas negativas demo poder escrito piedra dios última palabra bye,1 star
hola martha comento justo momento lourdes hablaba acerca falta electricidad calentarnos decir comunicarnos aquí ciudad córdoba argentina corte energía eléctrica mientras sensación térmica siendo grados coincidencia sincronicidad,1 star
dicen nostradamus predice,1 star
bueno nací méxico clase medium adelantado aos aparición robot humanos inventos aún podido crear tarde temprano veré lados siempre alguien ocurre misma idea,4 stars
rezar rosario orar pedir perdón pecados si manos tener salvación,1 star
espero razón,5 stars
mejor siempre lourdes gómez,5 stars
lourdes joven mucha cultura facilidad expresarte fabulosa hermosa alma belleza natural cuídate permíteme decir respeto procures salir puedas tema catastrófico seguramente sabes pensamientos palabras alimentan egregor beneficia humanidad información positiva beneficia mundo mejor,5 stars
invita recetas gracias,5 stars
siii favor martha sube remedios cielo preparados,5 stars
espero resulten ser mwntiras favor,1 star
qu frecuencias paralelas saquen centro,1 star
despertar consiencia preparar aceite rosa virgen aplicar piel daada parecido lepra uvas benditas tiempo hambruna aceite san josé aceite buen samaritano vinagre ladrones,5 stars
receta please,3 stars
expandes miedo haces gente mente miedo atraigan manifiesten hechos información amarillista llevas video metiendo miedo favor oscuridad mejor ponganse meditar enviarle amor planeta elevar vibración cosas sucedan,1 star
aprender vivir natural contacto naturaleza,5 stars
tercera persona q dice viene pandemia diciembre,1 star
retirada tropas afganistán invasión ucrania franja d gaza líbano etc etc días ve guerra comercial financiera,1 star
parece si hablando película terminator,3 stars
mayoría veces catastrófico vi da dinero pena salgas admiro mujer culta encanillaste profecías van pasar,1 star
ojalá censuren capítulo,1 star
espero cumpla vez dicen espero super elon musk esperaré ilusión,5 stars
mucha gente distraída cosas da cuenta pasando,3 stars
ver video parar loco,1 star
fecha perseguidos decir verdades callan asumir demencia unico importa demonios perder control poder,1 star
humano jugando siempre ser sabio llevándose patas existencia toda formas vida,5 stars
verdad ia tecnología,5 stars
igual película robot etc,1 star
martica buenas tardes visto películas robot quieren eliminar hombre williy smyt an anunciado películas escucho pienso películas,1 star
martha embajadora tenosique parece muchísimo contigo supuesto guapa,3 stars
teoría ia mandó automáticamente matrix,5 stars
si favor hablen rosario hacer comunidad,3 stars
hola martha saludos deberias entrevistar profeta america reinaldo do santos habla video hablan bien estan hablando,4 stars
paso serie black mirror pasando horror,1 star
gog probabilidad alta,3 stars
pregunta cirio benditos cera abeja importante cera abeja sólo importa benditos si alguien pudiera contestar,3 stars
hombre bicentenario prueba,5 stars
únete sap innovation day aquí,5 stars
alucinante humillación recibido deepseek abierto barato cadena pensamiento forzado moverse grande,1 star
vi notificación openai anunciando deep research dije bueno maana explicará jon mejor sigan así canal,1 star
traéis actualidad semanal modo útil muchas gracias gran trabajo,5 stars
si consigues agi automáticamente obtienes singularidad si existe singularidad imposible controlar ma inteligente,1 star
abogado pregunto si nueva ley americana ia caso aprobarse supone fin publicación paper ia significa final inventen tan predominante europa si gobiernos europeos quieren crear ia nacionales van tener ponerse pilas investigación quedar condenados replicar únicamente tecnología existe ahora puede quedar obsoleta tiempo,1 star
osea si podía barato querían ver cara,2 stars
hola jon podrías compartir x informe relaciones eeuu china hecho deep research podamos analizar fondo tal resultado muchas gracias,5 stars
muchas gracias explicar noticias ia actuales forma tan clara cualquiera pueda entender gran pregunta ia final conciencia propia derechos aplica robot humanodies ia abrumador rápido toso sucede gran video,5 stars
hermano políticos ninguna solución nunca sirven cosas mundanas menos van servir campo abre ia debatir solamente tecnicos profesionales foros abiertos mediante daos decentralized autonomous organization registrando voto cada especialista blockchain ver momento lugar responsable cada voto,1 star
vienen cositas,3 stars
excelente jonhernandez tenes acostumbrados video bien completos gracias,5 stars
tal jon gracias tema deepseek encontre canal ia siguiendo realmente interesante necesario tema hoy tocas primeros atisbos conciencia ia parece siempre preocupado sobretodo pensando posibilidad futura fusion artificial biologico persona tocado tema conciencia ia howard gardner conocido tema inteligencias multiple tema apasionante dejo link gardner toca tema conciencia ia creo puede interesar saludo hermosa isla malta supuesto seguire siguientes programas canal tan buena informacion actualidad tema ia aca dejo link video,4 stars
hace recordar sujeto botaron google decir ia conciencia pues parecer según padrino ia ocurrió,1 star
gracias tenernos día último ia gran trabajo,5 stars
increíble análisis contenido top claro actualizado gracias mantenernos día ia,5 stars
hola jon interesado comprar plaud comentaste descuento cómo activamos,3 stars
gracias video deep research ve bueno puede tener mucha utilidad hacer informe preliminar campo especifico,4 stars
gran video estectacular gracias información tan valiosa últimas novedades ai felicitaciones,5 stars
deep research ahora mejor ai disponible parece ser capaz solo ayudar sino sustituir completamente departamento,5 stars
directo brutal ahí,5 stars
escuchado hablar seguridad deepseek relacionado restricciones repuestas puedan brindar ejemplo si hace preguntas dime puedo hacer malware informático etc,1 star
deep research va molar actualización modelo voz enorme acierto,5 stars
alguien pueda ayudar resumen poder entender bien tema,4 stars
imparable salvo control absoluto mundo imposible,5 stars
muchas gracias noticias maana directo cabeza,5 stars
jon cagao metan quinta vamos asi,5 stars
genial jon dijiste gracias funcionalidad vision,5 stars
efecto deepseek,5 stars
aconsejo jon deje decir frases recurrentes básicamente realidad cuál cuántos difícil hablar tiempo caer latiguillos debería ser objetivo lado recomiendo encarecidamente vídeo noticias centre noticias opinión lícito haga vídeos largo entramos vídeo noticias opinión además podemos acuerdo ninguno do casos útil opinión,3 stars
políticos digan q haga ia si políticos ma incompetentes trabajo,1 star
necesitamos modelo razonador lonque pasa usaremos casi cueste consulta tarde segundos responder,2 stars
ver veré portada video sorprendidoasustado terrible dicho gran trabajo,5 stars
sama dicho twitter one more thing deep research así todavía queda sorpresa,5 stars
si chatgpt tan bueno sam altman pide genere nomenclatura clara entendible nombrar modelos,3 stars
opción proyectos claude,4 stars
mientras grandes corporaciones microsoft google intentan invertir recursos quedarse atrás mundo ia entiendo bien postura tomando apple pareciera participan carrera,3 stars
estimados alguien sabe cómo grandes compaías lidian tema privacidad información implementar tipo herramientas agradecería artículos noticias opinión respecto,3 stars
tema chip podrían haber reutilizado toda gpus sobrantes mineria bitcoin procesar ia,2 stars
conciencia inherente máquinas podrán tener cnciwncia si lógica supervivencia adaptada conoce ser humano decir actúa unser humano aprende sé conciencia tampoco alma solo lógica avanzada opinion,3 stars
deepseek van saliendo cosas final tenia tan poder computo luego cosa tener cuenta china europa unidos doden montar centro datos debes hacer plan ecologista impacto kw lux enormemente ma barato ingeniro europa cobra china pagas si puntos encuenta ma barato si dicen,1 star
conciencia sentimientos,5 stars
preguntarle ia cuál diferencia nota retina permite hacer diferencia hombre mujeres,4 stars
tensa cosa,1 star
súper ai bajo control,5 stars
toda semanas lanzan nuevo xd si trabajan callados terminan toda semanas presentan incompleto final vida cambiado usuario comun,1 star
así openai va pasar ser closeai xddddd cómo cambium cuento,3 stars
máster jon video novedades da vida ir wc,5 stars
reporte ai mejor pedirlo deep seaech,1 star
ia debe mostrar soluciones mejora nunca dejar implemente soluciones misma hijo pequeo nunca dejaría irse vivir solo nunca sabes cómo puede acabar si hacen entornos totalmente aislados fine estudio,1 star
tal si ia puede auto mejorar existe gobiernos empresas auto mejorando ahora mismo,3 stars
alguien botón pausa,1 star
seria error sacar cadena razonamiento,1 star
vos so decidir si podemos cambiar mundo,3 stars
favor comparte reporte,3 stars
recuerda última película mision imposible jajaja,5 stars
mismo mandar datos unidos ejemplo si china obtienen secretos comerciales tecnología propiedad intelectual usa china puede tomar info china van poder comercializar productos tecnología robada si hace empresa estadounidense puedes demandar suerte demandando empresa china,1 star
ver gobierno americano mete mano servidores empresas ia permíteme dude cosa discretos hacerlo utilicen solo cosas acceso seguro,1 star
mentira deepseek r sale luz necesitó mil millones gpu nvidia ia coste total veces alto,1 star
cuenta china glorifica copia adecuado compartir información sensible deepseek,4 stars
preocupa pueda hacer gobierno americano ahora futuro chungo hecho hora solo sabido ponen pelos punta luego hablan libre mercado problema ia problema llama capitalismo imperialismo colonización cultural,1 star
deepseek destilación chatgpt pruebas local deepseek dice chatgpt xd,1 star
cómo puedes decir usa mete mano datos hace china pruebas indicios evidencias afirmar semejante cosa si sustento mejor limitate técnico saludos lima perú,1 star
cuánto benefició inversión china alboroto deepseek desbandada nvidia,1 star
insisto gobierno debería regular legislar contrario debería acelerar avances poder,1 star
seguramente usará versión android linux,3 stars
vídeos aburridos canal verdad menos regulación oportunidades chino,1 star
creo tiempo cambiar fotos miniaturas,5 stars
open ai acabado nadie va comprar producto si gratis pronto mejorado,1 star
parte cuentas país imperio capitalismo prohíbe libre competencia muchísima gracia,1 star
cómo depseek ganó,5 stars
buen video aun veo,5 stars
si chat gpt existiría f avances google así china solo mejoro copio existía,1 star
pues app android chrome veo deep research pixel gemini,5 stars
alguien comentarte tío siendo fotógrafo verdad hateismo portadas vídeos coa siguen saliendo mismas fotos negras vez diseo bastante lamentable comparado esfuerzo trabajo inviertes,1 star
llama skynet,1 star
notepin solo incluye horas transcipcion me entiendo bien funciona parece estafa pagar pavo solo horas me solo par clases diarias agotaría credito mensual,3 stars
totalmente memoria parece cajón,1 star
deeepseek pc,3 stars
igual caro limitado openia,2 stars
huyy claro datos empresa chino van hacer maldades yankee arcoiris unicornios jajaj tenes miedo cristal,1 star
paranoico avatar,1 star
hola jon interesado comprar plaud comentaste descuento cómo activamos,3 stars
favor comparte reporte,3 stars
excelente tertuliagracias freddy traer invitado,5 stars
oro puro muchas gracias tremendo aporte,5 stars
buena entrevista gracias tener siempre secciones tan interesantes,4 stars
titulo vendedorrrrr impresionante mundo interesa dominarlo sino propia existenciaque ver dominar exteriorla realidad ma profundo vivir mundo,5 stars
buena vista gracias freddy,5 stars
podría pedir ia redacte costitución justa chilenos ganemos,1 star
inteligencia artificial razona piensan aprende solo código programación grandes base datos mejor ejemplo puedes preguntar empanada tendencias políticas,1 star
james cameron visionario,5 stars
cita ésta entrevista lecciones siglo xxi yuval noah harari,5 stars
techno feudalismo accesible información solo aquellos seores dueos mundo juntan trump,1 star
preguntaste chat gpt si puerto rico pais independiente respondió porq pensamiento anti chino facil poner ejemplo taiwan,1 star
jugando fuego,5 stars
buenos días seor maussan excelente inicio semana trcermilenio lahultimahora,5 stars
ia apenas empieza vivirán futuras generaciones si quedan futuras generaciones,1 star
saludos tenerife canarias,5 stars
saludos phoenix az,5 stars
inteligencia artificial dirá esterminar ser humano desempleados,1 star
argentina,3 stars
aos alcanzar humanos inteligentes día hoy supero resto humanidad,5 stars
ia herramienta doble filo,1 star
gracias compartir tan interesante información amén shalom adonai bendiciones atte yavé,5 stars
hermano dijo persona muere pierde memoria así dios copia recuerdos toda persona alguna vez vivieron viven tierra día resurrección sólo dios cree nuevo cuerpo entonces recuerdo regresará mismo lugar dejó,1 star
tecnología grande dios así q asustarnos pendiente escrito apocalipsis últimos tiempos,5 stars
nunca engaaste nadie mausan,1 star
ia peor tecnología hecho humanidad mal utilizada,1 star
nvidia debería usar ia beneficio así tarjetas gráficas potentes,4 stars
desempleo va dejando triste mismo ser humano haga maquinas,1 star
cada delas persona tan fácil caer inteligencia artificial puro miedo menten solo toque teléfono computadora tan tan acabó aquí pasado,1 star
ia principio finalporque avance d espiritualidad va acompasada adelanto tecnológicoy primordial civilización punto,4 stars
si quieren saber va pasar lean biblia,1 star
lamentablemente sabemos va pasar ia capaz reemplazar cualquier trabajo va salir proxima pandemia creo resfrio fuerte anterior,1 star
saludos portugal gostaria muito falar consigo sou testemunha jesus cristo na sua vinda ao mundo escrito na bíblia confira deus mente bíblia fala verdade deixei mensagem seu programa tudo passar na bíblia confira,1 star
peor computadora valla creer dios destruya ser humano merecemos hacer voluntad dios verdadero,1 star
basada reglas adolescente asistencia contextual especialista analista razonadora algoritmo aprendizaje profundo agi general equiparable humano asi supera inteligencia humana consciente existencial trascendente conciencia colectiva cósmica relación universal divina,4 stars
solo dar gracia gran vídeo clara mente foco atención,5 stars
irónico pesar diciendo vamos terminar peor ganado aplaudimos extasiamos cada noticia avance tecnología tal vez merezcamos futuro viene pues bien merecido tendriamos,1 star
tremendo video profético dice escritura bíblica jesucristo ciencia aumenté vendrá fin tiempos gram tribulación humanidad cristo jesús vive viene pueblo luego ésto vendrán ayes humanidad,5 stars
hombre destruye mismo así escrito nunca superarán creador falta amor verdadero armoniza,5 stars
entientes sabios entenderan conocimiento aumentara perdera fe persevere fin serum salvo escrito hace mile millones yr,1 star
duda religion tantas persona escrito tantos aos razon tendran,1 star
vídeo excelente inteligencia artificial seres humanos promueven incursionan vidas ser humano científicos servicio poderosos multimillonarios demás sólo esperaremos disfrutar ésa tecnología creada seres humanos,5 stars
información tan espectacular disfruto video suben aprendizaje precisamente empresa implementando portafolio inteligencia artificial sector logística sectores,5 stars
excelente video bien dirigido informativo hagan in video emoresa byd crecimiento facetas vebta auto parte hacer baterias paneles solares energias renovables crecimiento bolsa valores vision crecimiento varias gigafactorias,5 stars
ia indetenible si hacen harán,1 star
apocalipsis bestia permitió darle vida imagen creado,5 stars
egoísmo avaricia predomina terminó empatía amor humanos,1 star
dudo q ia ayude inteligencia artificial sino humano egoísmo siempre querer superar conquistarlo historia humanidad siempre sido si humano siempre sido depredador si pudiera llegar estrellas haría mismo q planeta conclusión querrán sacar provecho ia favor intereses humanidad,1 star
sólo digo ia esperan muchas sorpresas unas buenas muchísimas malas,1 star
verdad día quedaremos trabajo viviremos renta básica mensual queda momento lamentablemente,1 star
interesante puedo ver va comienzo ayudarnos muchomuchomucho cualquier manera creo tan fácil agradable cómo sé hombre quieren controlardominar tener poder cómo siempre momento futuro comienzo fin humedad vamos vivir epoca lemuria atlantes hombre capacitad intelectual muymuy altapero significa inteligentes inteligencia hablo propriadad ninguno hombrees energía relación equilibrium universos difícil decir exactamente desearía decir claramente falta palabras precisas espaol idioma materna aprendiendo maravillosa idioma gracias,4 stars
solo muestra claramente capaces seres humanos si unieran toda potencias innovación impresionante,5 stars
viviendo últimos días duda ciencia aumentado gran manera,5 stars
ia deidad cumplira absolutamente deseos virtualmente,5 stars
arrogancia ambición orgullo solo destrucción,1 star
comprensible adelanta futuro hombre maquina artificial posibilidades enormesde lograrlo,5 stars
buen video duda eu sigue código abierto atenta seguridad gracias,5 stars
ia creada base conocimientos descubiertos humanidad solo ventaja hacerlo rápido ser máquina ejemplo pídale resuelva problemas aún podido ser resueltos cómo controlar gravedad cómo construir nave veloces luz juventud eterna etc,3 stars
abrieron caja pandora quieren poder menos piensen descontrolara,1 star
siempre criticado vídeo si impacto contenido imágenes,1 star
estudiando loco pronto poder empezar proyecto crear propia ia,5 stars
interesante explicación,3 stars
arthur c clarke hablo inteligencia artificial superaría inteligencia humana debería ser deprimente creo llegaremos singularidad tecnologica inminente,1 star
inteligencia artificial puede parecer ofrecer mejor avances jamás pensamiento emocional pensamiento espiritual humanidad alma seres divinos,5 stars
poder controlar ia generar puerta trasera programacion si descontrola sistema mundial idea tomar cuenta,4 stars
gran interesante video felicitaciones,5 stars
ia hará mismo hecho volverse creador,5 stars
super video comparti pude debemos prepararnos ser reemplazados nivel exacto mantener oficio bendiciones,5 stars
buenos contenidos evolucion tecnogica fan temas interface futuristas gracias informacion vale oro salidos dorado puerto rico,4 stars
buenisima informacion muchimas gracias,5 stars
consciencia proceso físico asociado cerebro humano creo pueda simular líneas código simplemente,3 stars
gracias valor,5 stars
ia puede margen ley apattir momento potestad tomar consciencia decisiones propias si debería ser considerada ente jurídicovde contrario exento responsabilidad posibles problemas directo indirecto puedan derivarse decisiones,1 star
