comment,prediccion_modelo
inteligencia artificial define capacidad dispositivos artificiales realizar tareas propias inteligencia humana aprendizaje automático reconocimiento patrones toma decisiones inteligencia artificial define capacidad máquinas realizar tareas humanas aunque aún limitaciones áreas creatividad autoconciencia aprendizaje automático fundamental desarrollo inteligencia artificial evolución inteligencia artificial capacidad realizar tareas humanas complejas limitaciones actuales inteligencia artificial áreas creatividad autoconciencia papel crucial aprendizaje automático avance inteligencia artificial capacidad aprender errores pasados algoritmos aprendizaje supervisado ampliamente utilizados requieren millones datos etiquetados entrenar modelos tipos algoritmos incluyen aprendizaje supervisado semi supervisado refuerzo cada aplicaciones específicas aprendizaje supervisado aplica reconocimiento facial voz huellas digitales coches autónomos requiere grandes cantidades datos etiquetados funcionamiento existen tipos algoritmos aprendizaje supervisado semi supervisado refuerzo cada propias aplicaciones métodos entrenamiento además algoritmos mencionados utilizan técnicas específicas algoritmos famosos regresión lineal regresión logística árboles decisión diferentes problemas aprendizaje automático redes neuronales técnica potente aprendizaje automático formadas neuronas combinan crear redes profundas deep learning video menciona diferentes técnicas aprendizaje automático random forest knn support vector machine boosting redes neuronales destacando potencia últimas deep learning resalta importancia comprender funcionamiento algoritmos inteligencia artificial traducción automática reconocimiento voz evitar errores malas interpretaciones aplicación,1
buen vídeo ilustrativo conciso tnx,1
buenas primer lugar felicitarle canal pequeo encantaban matemáticas quisieron ascender do cursos di mala experiencia debido bullying terminé dejando ojalá conocido pequeo quisiera pedirle segundo lugar video fondo proporción áurea gustaría poder compartir importancia proporción áurea siguen canal importante presente rodea hecho incluso asocia belleza persona acercan proporciones bellas percibimos realmente increíble estructuras naturales puede ser tallos ramificaciones plantas haber continuado estudios fuertes gustado poder comprobar inteligencia fuertemente relacionada dicha proporción etc tema largo poder desarrollarme aquí solo presente tierra sino universo teoría ramificaciones cerebrales propias idea consciencia completamente relacionadas dicha proporción demasiado profundo post encantaría poder comenzar viendo vídeo parte poder comentar allí gracias supuesto continúe increíble mundo matemático,1
buena explicacion ejemplos mencionas ayudan entender conceptos gracias,1
gracias aportes saludos venezuela,1
vídeos interesantes muchas gracias divulgar temas,1
wooooooow bien explicado claro profundo mil gracias,1
ser humano hipopótamo frase nunca nadie dicho nunca olvidaré,0
ando viendo tema proyecto depende si paso termino colegio caigo cuenta escogimos tema ma complejo creia debemos defender tiempo mejor ir informandose aprendiendo estancarme tan pronto,1
pedazo video simplemente genial interesante gusto dando importancia ia matemáticas posibles avances actualidad seguimos usando algoritmos estadísticos hace aos gran diferencia hoy generar toneladas datos consecuencia variedad datos pueden ser entrenados,1
muchas graciasestoy curso ciencia datos ayudado comprender concepto,1
placer suscrito canal respiro ciencia nunca demás,1
gracias compartir saber bendiciones,1
excelente video eduardo cómo relaciona investigación matemática desarrollo algoritmos inteligencia artificial,1
felicitaciones claro preciso sigue asi vida vamos convivir inteligencia artificial gracias,1
tipo máximo apariencia usual profesor sumada carisma vuelven verdadero hit,1
muchas gracias profe enseado gran tema ai,1
haces entender fácil ojalá pronto segunda parte,0
buen contenido canal usare vídeo trabajo universitario gracias d,1
curioso algoritmos youtube llevaron video espero aprendiendo contenido calidad,1
muchas gracias compartir excelente canal,1
sorprendido cada día ma vos casualidad video parte formación académica formas parte clases brindan agradecido eternamente contenido,1
woooo hiciste video pedí pasado muchas gracias encanta canal saludos chile,1
verdad muchas gracias diste motivación necesitaba afrontar to ao carrera ingeniería matemáticas,1
excelente explicación gracias totales,1
primero pienso stockfish,0
excelente explicacion gusto aprendi,1
encantan caras promocionales divertidas pone hombre quitar hierro temas tan serios genio sabio así da gusto aprender cosas nuevas ciencia,1
eduardo amamos crack mil gracias,1
encantó video muestra amplo campo ia cosas ma fascinantes conocido teoría matemática detrás hermosisima encantaria dedicarme completo estudio aplicación misma empezar dada vasta complejidad solo pequea parte conocimiento matemático dedicarme lleno ma minimum idea empezar si alguien supiera pudiera hacer ma estudios profundidad ello pudiera comunicármelo eternamente agradecido,1
simplemente brillante admiración,1
simple taxista ando aquí disfrutando cosas entiendo pondré práctica,1
clarisimo buena explicacion ojala cosas vayan bien,1
super interesante video profesor creciente crecimiento app inteligencia artificial chat gpt bueno video respecto,1
gracias información tiempo prestado,1
vaya justo vídeo q gustaría dedicarme futuro gracias,1
gran explicación inteligencia artificial gustó cómo explica conceptos manera tan clara fácil entender tipo contenido ayuda desmitificar ia entender verdadero potencial,1
buenos vídeos podrías hacer vídeo alguno problemas matemáticos película good will hunting gracias,1
gracias video bendiciones,1
pase meses materia ia comprenderla video comprendí menos minutos,1
alegro sigas aqui,1
sr cabezón entendible bueno realice video actualizado fecha ayudarnos siempre hace tiempo referente ia varió bastante saludos argentina,1
hace leí descubrimiento ver matemáticas visto descubierto organismo unicelular cerebro hace cálculos matemáticos desplazarse podrías hacer video explicando cómo posible,0
interesante desarrollo aunque siempre puede ser tan cierto acertar mente humana cuanto interpretación datos,1
aqui binarios my friend perfecto evitar futuros problemas,1
semáforos coches peatones acaso sistema sepa si creando cuenta ser humano bot,1
ia crea canal matemáticas mejor derivando eduardo cree,1
gran vídeo muchas gracias,1
buen resumen forma explicar excelente video,1
genial divulgar muchas gracias,1
excelente video muchas gracias pregunta posible puedas colgar literatura relacionada descripción video ganas profundizar abrazo,1
tal vez ver agradezco cada cientifico cada investigador cada persona envuelta desarrollo avanzes tecnologias ayudan mejorar humanidad gracias ia software ma verdad siento sumamente agradecido realmente quiero persona mejor vida posible pues merecen aporte dan sociedad medio optimizacion tareas tediosas increible asi cualquier persona involucrada desarrollo ia investigacion tecnologia mejorar vidas cualquier forma respeto,1
pasarás eternidad cielo infierno dios quité vida jesucristo viene pronto salva alma ahora ay tiempo maana puede ser tarde santidad nadie verá seor jesucristo escapa x vida llamás eternas,1
bien explicado,0
saludos ecuador sigue adelante edu excelente contenido,1
justamente aprendiendo knn semana,1
parece bastante interesante forma abordas temas excelente video gustaría sigas hablando temas video,1
excelente interesante uruguay,1
buen tema buen canal hora dejar lado ver video,1
wow c vi vi encantó,1
podrías hacer vídeo matemáticas redes neuronales,1
sucedería si ejecutará vectores intravectores decisivos dentro arrayanes gracias respuesta maestro saludos,1
temprano matemáticas algoritmos aquí vamos,1
muchas gracias toda explicaciones gran video pasada toda tecnología nueva,1
justo apenas empecé máster ia universidad uk mayoría piensa solo bot sencillo ia potencial,0
exelente video autoconciencia imposible,1
genial video justo empecé tener interés temas subes video siento agradecido arriba,1
buena explicacion,1
esperamos expectativas video opinión chat gpt nuevas inteligencias artificiales gracias hacer ciencia matemática atractiva divertida,1
gracias super bien explicado,1
si movimiento bueno probable repita partida ajedrez ejemplo acaso lor ordenadores saben causalidad solo comparan resultados después jugar millones veces saber realmente cada moviendo separado bueno sino movimiento calificado bueno si partida victoriosa,1
gran video genio eduardo,1
sugerencia gustaria ver video acerca automatas celulares conway quedo corto mencionando regla constructor universal von neumann obsesion wolfram tema tema denso interesante,1
muchas gracias compartir,1
interesante bien explicado siempre gracias refrescar verano,1
buen video bien explicado tiempo gracias usaré clase apra explicar conceptos,1
aprendizaje supervisado supervisado utiliza clasificación imágenes satelitales interesante cada imagen satelital puede conformada bandas caso hiperespectrales mínimo bandas,1
excelente favor video redes neuronales,1
gracias contenido puedes hacer vídeo hablando investigaciones usan matemática topología teoría categorías computación cuántica inteligencia artificial visto uso álgebra forbenius pragmática lenguaje natural saludos,1
hola ingeniero machine learning aveces xgboosters superan redes neuronales buen video xgboosters refiero gradiente descendiente,1
tema video fondos video derivando,1
actualmente ando aprendiendo ai considero tema demasiado importante tecnología toda partes evoluciona pasos gigantes ai además estudio técnico relacionado sector tic así trato mantenerme nuevo tecnología,1
cantidad veces fallo chaptchas perjudicando gravemente inteligencia artificial,0
gracias enseanzas vídeos,1
participaba taller machine learning entretenido entrenar máquina luego consultarle según aprendió,0
key takeaway for quick navigation introduction to artificial intelligence artificial intelligence defined a the ability of artificial device like computer to perform task typically requiring human intelligence overview of the evolving definition and capability of ai including it historical progression and current application type of artificial intelligence classification of ai task into category such a calculation memory learning creativity and selfawareness discussion on the challenge in replicating humanlike intelligence in machine creativity in artificial intelligence exploration of algorithm and technique enabling ai to exhibit creativity in various domain such a painting music writing and humor example of aigenerated creative output and ongoing research in enhancing ai creative capability machine learning and ai explanation of machine learning ml a subset of ai focusing on the ability of algorithm to learn from data and improve performance over time overview of supervised unsupervised semisupervised and reinforcement learning technique with realworld application supervised learning algorithm detailed discussion on supervised learning algorithm including their reliance on labeled data for training and example of application such a image recognition and natural language processing importance of labeled datasets in training algorithm and their role in various domain like autonomous vehicle and medical imaging unsupervised learning and other technique explanation of unsupervised learning algorithm used for clustering similar data point and their application in recommendation system and data analysis introduction to semisupervised learning and reinforcement learning technique emphasizing their significance in handling limited labeled data and decisionmaking task advanced learning algorithm overview of advanced learning algorithm like support vector machine decision tree knearest neighbor and neural network explanation of neural network structure function and their role in deep learning highlighting their application in various ai task and ongoing research area made with harpa ai,0
viendo vídeo subtítulos generados automáticamente interesante,1
entendí saber si pasaste captcha so robot tener etiquetadas imágenes contrario daría igual marcaras entonces ayudamos si etiquetando imágenes etiquetadas,1
tema canal two minute paper sube paper interesantes,1
gozaré video puedes imaginar,1
aquí binarios my friend parto contigo muchas gracias eduardo vídeo genial saludos madrid,1
quiero seor explica cosas tan dificiles ocho minutos,1
osea machine learning aasi inteligencia colectiva red guarda solo datos sino millones personasotras pc hacer analisis,1
gracias buen video,1
encanto tema podrías hablar algoritmos específicos temas computer science matemáticas,1
hará conciente cambiará persección mundo,1
propuesta posible medir movimiento placas tectonicas segun google map posicion pixelar esfera encontramos animacion planeta simulacion base machine learning poder predecir terremotos si google map coordenadas factores hostigan lugares seria chile falla san andres podria tomarse cosas termometro kilometrico ciertos lugares placas provocaria tierra moldeada humanos nivel tectonico malo decir dejarian caga conociendo weones malos weones pelear haran cosa piensen amunas advertencia termometro sensor tipo balanza superficie pueda medir movimientos segun machine learning posible tendra margen error probable ringa tech dotcsv derivando polo tendria dejar cupula nevera,0
excelente video cuya calidad atribuyo do factores parte conocimiento fondo ia evidenciado especial hablan redes neuronales dominio completo matemáticas maestría matemática queda ampliamente demostrada correcto tratamiento hace canal infinidad cuestiones álgebra análisis geometría topología incluida respecto redes neuronales cabe sealar existe manera alterna divulgada obtener redes profundas perceptrones decir redes tres capas perceptrones similares calculan ajustando peso mediante retropropagación errores dicho método alternativo calcula red profunda directamente partir datos ejemplos contraejemplos franjas separación deseadas hipersuperficies decisorias metodología inédita utiliza retropropagación trata algoritmo codificado programa evaluado numéricamente basa formular perceptrones términos categorías objetos morfismos analizarlos términos geométricos permite tratamiento transparente data numérica desempeo algoritmo notablemente predecible exacto rápido retropropagación introducción uso sugiero den vistazo siguiente video cuya descripción hallaréis enlace descargar software además link referencias corre plataforma window totalmente gratuito siquiera requiere instalación autoportante podréis probar software propios archivos datos numéricos comprobar cabalidad redes así obtenidas reconocen exitosamente data felicitaciones tan clara introducción ia particular redes neuronales daniel crespin,1
ser genio estudiar matematicas basta iq regural iq importa,0
único puedo aceptar aprendizaje basado refuerzo basa modelo aprendizaje reforzamiento skinner si implica cambio final producto resultados proceso,1
aquí binarios my friend xd,1
gracias exposición,1
inteligencia artificial verbo if detrás,1
buen programabueno,1
increible necesitan coches detectar chimeneas,1
muchas graciasss maana examen tema ayudaste full,1
like si estudiante humanidades,0
mejor explicación encontrado después ver video artículos divulgación salen abstracciones dan hecho entendieron tema términos usan,1
solo skynet va dominar mundo v,1
gracias video ia aos atrás recién ánimo saber tecnología llamada disruptiva video puesto día ia términos comprendí perfectamente ayudando seguir entendiendo desarrollo ia do aos fascinada gracias didaáctica clarísina si escucha unas cuantas veces menos comprendí general ia algorithm técnicas momento redes neuronales continúan reinando entendía bien gracias millón gracias seor veré,1
meses empezar carrera inteligencia artificial emoción,1
intereso bueno,1
veo libros aprendo derivando aprendo derivando busco libros,0
padre inteligencia artifical puede llevar negligencia inteligencia artificial,0
inteligencia artificial hecho inteligencia humana,0
gusta base cada vez ase compleja así hexagesimal,0
algoritmo deep learning genere algoritmos deep learning,0
interesante especial apasionante,1
carrera hacer aprendizaje refuerzo pacman capaz comerse fantasmitas usando algoritmo llamado qlearning trabajo divertido tercero carrera,1
bueno muchas gracias,1
vídeo cómo funciona inteligencia artificial jugadores hoi inteligencia artificial funciona,1
bueno clarito clarito,1
bot agedrez imagen alguien mamadisimo,0
libro recomiendas estudiar base iacreo ver regresiones patrones,0
inteligencia artificial percibe tiempo misma forma percibimos humanos,1
buen video podrías hacer revise matemáticas chip puertas lógicas,1
quedé esperando dijese ia hoy día verdaderamente inteligencia artificial sino estadística,0
logra caer mínimos parciales entrenar redes multicapa utiliza multicapa si demostrado do capas puede lograrse cualquier solución capas debe reducen operaciones matemáticas,1
entonces robot pronto podrá ser realizado robot xd,1
canal hermoso,1
aquí binarios my friend lgbt moment,0
aplica enemigos videojuego,0
siento homero simpson aprendiendo navegar internet,1
debe utilizar uber distribuir solicitude conductores quieren ir determinadas zona pues dia solo envian servicios solo oara zona adonde quiero ir,1
buen video data scientist explicas bien,1
cada vez avanza hitos ia cada día va evolucionando mejor pensamiento lógico máquinas,1
inteligencia artificial parece espectacular hecho crear vida decirlo así exista conciencia tal humano capas pensar casi igual solo demuestran avance tecnología creaciones hombre,1
muchísimas gracias explicarlo puedes decir compraste camiseta,1
inteligencia artificial ayudará ser mejores amigo guntos haremos crearemos cosas imposibles bien,1
ahi creo funciona así puedas continuar debes acertar dnd imagenes programa valida si supiera podrías superar captcha incluso equivocandote,1
eduardo alguna bilbliografia formal algoritmos saludos colombia,1
solucion s problema mente cada creador,0
youtube avisa d maravillosos vídeos,1
buen enselador,1
gracias excelente video,1
buena información,1
matemáticas otorgan poder frase sobresaliente,0
tenia duda gracias,1
definitivamente tema favorito cuándo hablo acerca cómo miraban hablaba inteligencia artificial décadas atrás vi mismo hablaba compaeros acerca temas importaba tomado decisión seguir universidad estudiando amo aunque signifique sacarme rión lograrlo,1
duda inspirador visión acertada jürgen schmidhuber cómo abre puertas desarrollo sostenible estudiaré ciencias computación adolescente paso mundo tal puedo esperar conocer ia,1
mejor charla respuesta pregunta puede estudiar joven futuro respuesta hermosa ningún robot puede tener mejor mecánismo manos cuerpo mejor inteligencia natural reemplazará queda interactuar,1
gracias bbva magníficas conferencias científicas,1
si premio nobel si merece,1
mejor visto entrando ao solo creatividad ahora llamará innovación total,1
grande mente tiempo muchas gracias,1
excelente conocimiento aportes sociedad súper humilde,1
interesantisima charla estudiarla escuchandola ma vez,0
estudié ser pianista vida llevó aplicar música área salud aplicarlo grupos persona alguna manera sido lastimados misma sociedad forma sicológica ó física traumática sólo emocionalmente aunque ia pudiera saber dar solución diversas situaciones persona humano perdería existir humano,1
maravillosoo gracias jurgen placer escucharlo magnífica,1
jürgen schmidhuber plantea visión inspiradora inteligencia artificial herramienta potenciar progreso humano enfrentar desafíos globales embargo llamado equilibrar desarrollo tecnológico ética responsable fundamental pregunto cómo podemos garantizar ia solo accesible sino promueva equidad real sociedades marcadas desigualdades equilibrio innovación responsabilidad parece ser mayor reto tiempo,1
aplaudí lado pantalla sublime,1
bueno muchas gracias,1
mente maravillosa,1
magnifico conversatorio evocador inspirador planteamiento profesor gracias organizadores felicitaciones,1
seguiré jurgen,1
increible entrevista wow,1
mente excepcional ponencia interesante desarrollo ia,1
simplemente magistral,1
gracias generosidad compartir conocimiento,1
excelentes invitados,0
mejor mejor forma yan agradable explicar temas complejos,1
capacidad entendimiento discernimiento sabiduría puede convertir arte aquello agobia tristeza desepsiones trauma transforma según voluntad,1
impresionante brillanteun genio,0
información valiosa,1
siento tan inspirada palabras tan motivada recorreria mundo trabajar equipo particularmente siempre tildaron loca,1
genio bonito vivir,1
muchísimas gracias conferencia tan interesante,1
premisa hacer momento aceptación condiciones desarrollarlo dió lugar desarrolle embargo cuestiono hecho consecuencia desarrollo uso tipo tecnologías siga deteriorando deteriorado desarrollo ser humano brecha comprenden desarrolla simple consumidores cada vez grande,1
sencillamente maravilloso,1
gracias bbva aprendamos junto excelente contenido,1
tipo crack responder preguntan diciendo,0
almacenamiento época súmale itinerancia idea genial abrazo,1
fantástico gracias,1
buenos dia everyone escuche genio dejo outsidey menciono causa jamaz creido imajinado iaseria realidad menos aporte desarrollo humano luego apreciar conferencia rraaciono tal punto aprovechare maravillosa creacion desarrollo ia evoluciono desarrrollos inmensamente fabulosos lady and gentlemanswelcome nuevo orden mundial iasaludos nyc in usa,1
súper interesante vídeo,1
gracias cientificos avansa humanidad riqueza neuronal,1
predije aún llegado tampoco jubilado simplemente maravilloso,1
impresionante video,1
gracias jürgen,1
gusta escuchar gente inteligente clase imperdible,0
excelente video,1
alucinante inquietante vez,0
interesante enfoque vengo kai lee gusta ver videitos,1
so genio inspiración seguimoste admiro,1
verdad inteligencia artificial sintéticos siguiente paso humanidad recordaran fase evolución humana,1
creando tecnología capaz desarrollar intereses propios ajenos humanidad día seguiremos vivos solo gracias benevolencia compasión seor esconde celebra abiertamente vende deseable vez inevitable gente sonríe aplaude fatal cabeza,1
impresionante masterclass claridad afabilidad exposición dentro dificultad materia encantado,1
claro alcance tema prolongaciones vida humana preguntas identifico público desarrollo ia comprender mejorar vida evolución positiva gracias,1
igual forma pequeo queria buscar libro persona responda toda dudas ahora inteligencia artificial basada aos informatica privilegio países desarrollados paises subdesarrollado viajar occidente todavia sospredente existe mucha informacion ciencias económicas culturales sociales politicas influenciadas herramientas tecnologicas bien mal,1
encanto respuesta nio aos hace poner perspectiva brillante ser humano toda capacidades fisico valioso vivir humanos capacidades permitieron evolucionar homo sapiens,1
ser humano profesional magnífico felicitaciones tantas persona preocupadas pueda suceder critican ia falla puede ser peligroso dependerá aportemos humanos debemos valorar rrespetar disciplina debe ser mayor pilar cada familia sirve regular ia si final seres humanos saben utilizar final tontos ignorancia debemos dejar inteligencia fluya mejor manera dependerá cada cómo escoger conviene docentes deberían preparados ensear leyes derechos nios escolaridad cómo utilizar punto utilizar inteligencia artificial deberán bajar calificación nio mala utilización ideal padre trabajando educando hijos mayor parte horario nios encuentran escuelas secundarias exigen utilizar tecnología escuela pues deberían tener materia prioritaria,1
magistral,0
gracias,1
cada tema deja aprendizaje,0
ufff valio cada maldito segundo,0
bravísimo jürgen schmidhuber,0
tema tan interesante inteligencia artificial tema tan abstracto magnífico aún trata entender ver puede hacer,1
buenisimo clase magistral ia crack sr jürgen schmidhuber gracias compartir conocimientos adelante,1
palabras ciertas viniendo origen atropella dicen llamarse youtubers noticias falsas divulgadores gracias compartir,1
excelente saber persevera alcanza,1
brillante científico,1
gracias bbva,1
genial programa,1
título dice magistral increible aporte jürgen dado humanidad gracias,1
ia sustituirá humano cambiará profundamente forma vivir trabajar herramienta poderosa potenciar capacidades siempre implemente manera ética responsable humanidad seguirá siendo esencial cualidades únicas empatía creatividad juicio moral toda formas parar reflexionar ser tan egocentristas insignificantes especie humana desarrollado tipo habilidades casos inservibles hecho involucionar póngase ejemplo bomba atómica desarrollo ego extremo pensamos superiores resto especies hecho ser humanos existencia corta relación creación universo probable extingamos tardar da deriva tome vamos dejar gente juegue fin cabo llevamos haciendo toda vida sapiens espero vida allá planeta favor inteligentes menos respetuosos aquello rodea,1
duda tema desafiante lado apoya datos históricos generados pudiendo superar temas aun ignoramos temas privacidad lado perturbador voracidad capitalismo imaginen uds desean comprar póliza seguros gastos médicos solicitan serie análisis físicos harían póliza medida evadir responsabilidad coberturas detectar análisis tendencias desarrollo ciertas enfermedades futuro,1
pone comentarios seguro pondrá tampoco sr habla tener ningún reparo malo puede traer cero critica conciencia trabajo suerte creadores ia si conciencia actos,1
interesante esperemos beneficio cuantos,1
maravillosa conferenciagracias bbva,1
abuelo fan cuenta historias épico aplausos usted,1
inteligencia artificial gracias,1
sorprendente,0
espectacular,1
excelente the best,1
escuchar supervillano explicar plan fin humanidad genio supervillano nio dijo prácticamente resignate carpintero importaras,0
excelente,1
seria interesante conocer estan hoy desarrollando ia gran seor va salida mundo dividido desarrolladores consumidores dominados tecnologías,1
vaya documento wow,0
dios mio genio,0
hermosas palabras quisiera saber si inteligencia servicio insignificante ser humano llegaría nio áfrica india etc etc salvar vida nombrar bellísimo,0
corta edad aos regalada ordenador bit cayó manos revista informatica artículo recuerdo decía naturaleza podría ser matemáticamente representado cabe duda capacida memoria velocidad computacional época piedra obstáculo aquella época contado chatgpt neurona matemática aplicada menciono aquella época multimedia ocupaba mucha memoria aquella época data almacenada mayormente texto,1
locura literal,0
bueno cada vez toca aprender ciencia artificial dejar interactuar demás humanos,1
nice video,1
respeto cortesía estima merecen megapotencias occidentales tale unidos américa reino unido gran bretaa norte quisiera comunicarles preguntas podrían hacer cualquiera internautas ven maravilloso video cualquiera estudiantes pertenecen generación alphacuánto costado desarrollar inteligencia artificial general tipo términos interesan términos económicos sé abaratamiento ocurre cada aosno sido rentable tipo términos interesa económico educar mile millones persona hoy carecen poder da conocimiento desarrollo inteligencias físicas nono sido eficiente educación persona ara cumplir objetivos desarrollo sostenible,1
bbva bank mex dios bendiga,1
gracias,1
wow,1
felicidades gran presentación llena sugerimientos seguir reflexionando relación segunda naturaleza tecnología,1
hace aos veía necesidad inventar dispositivos colocados tubos escape vehículos usan combustible base hidrocarburos pudieran licuar gas almacenarlos fin contaminen medio ambienteno sé tan difícil inventar dispositivo fecha inventado producido,1
gente aplaude entienden quieren entender man precursores fin humanidad científicos jactan hacen hacen bien humanidad fondo hacen orgullo propio reconocimiento,0
buenas noches,1
reduce concepto conciencia solo sentir dolor conciencia identificar bien mal tener conciencia acciones emociones dice si hecho dao mismos inteligencia humana ma reconocer patrones tal construidas ia solo inteligencias artificiales emulación nunca llegará ser ser humano,1
doy gracias dios jurgen darme oportunidad recibir toda información tener claridad verdad esperanzador,1
simplifica pensar,0
cómo quieres ser recordado quién volvió explotar cabeza,0
simplemente clase ponerla obligatoria centros educativos vez principio curso mitad final curso si enterado bien,0
probabilidades control,1
proposito llaman locos,0
informacion da video esperando gracias fran,1
increíble puede hacer ser humano ia podrá ser auto regenerativa predictiva momento potencial cerebro humano infinito solo saberlo cultivar motivar genere cosas verdad increibles,1
muchas mentes útiles humanidad queda desarrollo tangible humano,0
tristeza da pensemos futuro considerar palabras jesús san lucas capítulo versículos hacerlo continuando multiplicar male haber ojalá aceptemos poner práctica gran verdad dejó jesús,1
excelente conferencia niez video llamada solo ficción,1
gracias adoro ia,1
si humanos dieran cuenta poder cerebro limites seres dones espirituales capaces moldear realidad pura,1
si educacion observamos investigamos practicamos podemos encontrar equilibrio escapado facilismo politiqueria,1
destacable respuesta nio aos acerca importancia deporte vida humana,1
fantástico invitado grandes aprendizajes quedan cuestiones filosóficas encantaría hacerle basta experiencia ciencia datos ia quedan reflexionar ejemplo ia generativa basada llm aprende humanos solo desarrollos científicos parte humana subjetiva inconsciente tiempo interactua ia consciencia objetiva siendo así ia reflejo locura creo menos población consciente simbiósis contrario adjundican lugar dios suprema consciencia dónde lleva,1
bonito doo recuerda tal alfredo nobel chevere invento utilizo cosa servicio pueda pagar manos enfermas potencias bélicas económicas mundo,1
casi toda inteligencia mente humana sino civilización artificial vamos bien vá según previsto,0
función lógica si cada vez preguntan jürgen responde viendo queda pensar probablemente políticos persona poder dinero pueden entrenando modelos ia libros psicología humana lleva pensar envueltos probablemente manipulaciones gran escala humanidad usualmente habla redes sociales punto debe centrarse cargar modelos psicológicos hacer bien evitar autodestrucción ia aún necesita tomar forma física satisfacer requerimientos energéticos pase solo quedará saber si compasión verdugo final,1
interesante cuántas mentes brillantes mundo,1
ser humano único creado éste soporte ia diversidad vez ser humano único múltiples inteligencias sigue ampliando horizontes cognoscitivos,0
si aun internet regulado ia deberia tener regulaciones llama atención caso jovenes interactuan socialmente romanticamente ia caso sonado ultimamente termino maldebe regularse use mejor manera,1
importante cargo postuló ven mentes humano copia sobwer,1
buenas tardes,1
ia inteligente sabemos siempre humano origina surge,1
hola gracias enriquecedor contenido,1
schmidhuber parece creer llamamos inteligencia artificial va hacia continuo superamento si misma si sola mientras realidad aprendiendo siguiendo pautas humanos implementamos ma inteligencia espectacular memoria mecánica virtualmente beneficiosa ser humano equilibrado desafortunadamente ningún momento charla plantea entendemos inteligencia sentimientos emociones conciencia mismos charla bien intuir evolución técnica sistemas,1
simulación conciencia conciencia,1
